spectrum_id,adduct,precursor_mz,compound_name,key,scaffold_group
CCMSLIB00012271181,[M+H]1+,198.068,Beclamide,JPYQFYIEOUVJDU,c1ccccc1
CCMSLIB00012271182,[M+H]1+,400.158,Pimodivir,JGPXDNKSIXAZEQ,c1cnc2[nH]cc(-c3nccc(NC4CC5CCC4CC5)n3)c2c1
CCMSLIB00012271183,[M+H]1+,494.222,UNII-IF979JQU3S,ZPDICRPCOSQEDS,O=C(NC1CCCC1)C(Cc1ccccc1)NS(=O)(=O)c1ccc2ccccc2c1
CCMSLIB00012271184,[M-H2O+H]1+,494.225,Litronesib,YVAFBXLHPINSIK,N=C1NNC(c2ccccc2)S1
CCMSLIB00012271185,[M+H]1+,414.185,Ethacizine,PQXGNJKJMFUPPM,c1ccc2c(c1)Nc1ccccc1S2
CCMSLIB00012271186,[M+H]1+,414.185,Ethacizine,PQXGNJKJMFUPPM,c1ccc2c(c1)Nc1ccccc1S2
CCMSLIB00012271187,[M+NH3+H]1+,417.185,Pimodivir,JGPXDNKSIXAZEQ,c1cnc2[nH]cc(-c3nccc(NC4CC5CCC4CC5)n3)c2c1
CCMSLIB00012271190,[M+H]1+,837.532,roxithromycin,RXZBMPWDPOLZGW,N=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1
CCMSLIB00012271191,[M+H]1+,276.159,rolipram,HJORMJIFDVBMOB,O=C1CC(c2cccc(OC3CCCC3)c2)CN1
CCMSLIB00012271192,[M+Na]1+,298.141,rolipram,HJORMJIFDVBMOB,O=C1CC(c2cccc(OC3CCCC3)c2)CN1
CCMSLIB00012271193,[M+H]1+,512.236,Litronesib,YVAFBXLHPINSIK,N=C1NNC(c2ccccc2)S1
CCMSLIB00012271194,[M+Na]1+,534.218,Litronesib,YVAFBXLHPINSIK,N=C1NNC(c2ccccc2)S1
CCMSLIB00012271195,[M+K]1+,550.192,Litronesib,YVAFBXLHPINSIK,N=C1NNC(c2ccccc2)S1
CCMSLIB00012271196,[M+H]1+,238.123,CYHEPTAMIDE,APBVLLORZMAWKI,c1ccc2c(c1)CCc1ccccc1C2
CCMSLIB00012271197,[M+H]1+,238.123,CYHEPTAMIDE,APBVLLORZMAWKI,c1ccc2c(c1)CCc1ccccc1C2
CCMSLIB00012271198,[M+H]1+,476.185,867334-05-2,AQSSMEORRLJZLU,c1ccc(-c2ccc3nc(Nc4ccc(OCCN5CCCC5)cc4)nnc3c2)cc1
CCMSLIB00012271199,[M+H]1+,476.185,867334-05-2,AQSSMEORRLJZLU,c1ccc(-c2ccc3nc(Nc4ccc(OCCN5CCCC5)cc4)nnc3c2)cc1
CCMSLIB00012271200,[2M+H]1+,461.141,Fluminorex,NMGYDYBWRZHLHR,N=C1NCC(c2ccccc2)O1
CCMSLIB00012271202,[M+H]1+,285.196,Midazogrel,YPIURPNVKACZQH,C(=Cn1ccnc1)COCc1ccccc1
CCMSLIB00012271203,[M+H]1+,285.196,Midazogrel,YPIURPNVKACZQH,C(=Cn1ccnc1)COCc1ccccc1
CCMSLIB00012271204,[M+H]1+,503.263,1161925-41-2,YNIGIJNKAURBRK,c1ccc(Cn2cnc(-c3ccccc3)c2)cc1
CCMSLIB00012271205,[M+H]1+,410.117,SCHEMBL4365146,CBPAYAUKSPYMOR,O=c1[nH]cc(Cc2ccc(OCCn3ncc4ccccc4c3=O)cc2)s1
CCMSLIB00012271206,[2M+Na]1+,497.22,CYHEPTAMIDE,APBVLLORZMAWKI,c1ccc2c(c1)CCc1ccccc1C2
CCMSLIB00012271207,[M+H]1+,503.263,1161925-41-2,YNIGIJNKAURBRK,c1ccc(Cn2cnc(-c3ccccc3)c2)cc1
CCMSLIB00012271208,[M+Na]1+,525.245,1161925-41-2,YNIGIJNKAURBRK,c1ccc(Cn2cnc(-c3ccccc3)c2)cc1
CCMSLIB00012271209,[M+Na]1+,364.145,Leminoprazole,PSIREIZGKQBEEO,c1ccc(C[SH+]c2nc3ccccc3[nH]2)cc1
CCMSLIB00012271210,[M+K]1+,380.119,Leminoprazole,PSIREIZGKQBEEO,c1ccc(C[SH+]c2nc3ccccc3[nH]2)cc1
CCMSLIB00012271211,[2M+Na]1+,705.302,Leminoprazole,PSIREIZGKQBEEO,c1ccc(C[SH+]c2nc3ccccc3[nH]2)cc1
CCMSLIB00012271212,[M+H]1+,342.163,Leminoprazole,PSIREIZGKQBEEO,c1ccc(C[SH+]c2nc3ccccc3[nH]2)cc1
CCMSLIB00012271213,[M+NH3+H]1+,255.149,CYHEPTAMIDE,APBVLLORZMAWKI,c1ccc2c(c1)CCc1ccccc1C2
