group_key,ce_numeric,mu,source
CLSVJBIHYWPGQY,90.0,0.4241881845891491,WUR
CNFMJLVJDNGPHR,30.0,0.7032457131654912,WUR
CNFMJLVJDNGPHR,45.0,0.3698277930893964,WUR
CNFMJLVJDNGPHR,60.0,0.27724620977121384,WUR
CNFMJLVJDNGPHR,75.0,0.2662086767622336,WUR
CNFMJLVJDNGPHR,90.0,0.2611040060263084,WUR
COHUFMBRBUPZPA,30.0,0.7593730783911739,WUR
COHUFMBRBUPZPA,45.0,0.43076123607391203,WUR
COHUFMBRBUPZPA,60.0,0.32867461606848325,WUR
COHUFMBRBUPZPA,75.0,0.30720882747303674,WUR
COHUFMBRBUPZPA,90.0,0.29087422488401793,WUR
CPCRJSQNWHCGOP,30.0,0.19397120008445953,WUR
CPCRJSQNWHCGOP,45.0,0.21458224155717479,WUR
CPCRJSQNWHCGOP,60.0,0.15755802911958616,WUR
CPCRJSQNWHCGOP,75.0,0.12646596823109593,WUR
CPCRJSQNWHCGOP,90.0,0.11781209021499599,WUR
CQCJCAJOWSRHSH,30.0,0.7761437764816145,WUR
CQCJCAJOWSRHSH,45.0,0.5732087845715205,WUR
CQCJCAJOWSRHSH,60.0,0.4660022443171814,WUR
CQCJCAJOWSRHSH,75.0,0.43388819271695284,WUR
CQCJCAJOWSRHSH,90.0,0.4191142388939131,WUR
CRDKSBHJIGNEOH,30.0,0.7174297295928413,WUR
CRDKSBHJIGNEOH,45.0,0.5857024969799893,WUR
CRDKSBHJIGNEOH,60.0,0.49677881797162043,WUR
CRDKSBHJIGNEOH,75.0,0.4571634354607753,WUR
CRDKSBHJIGNEOH,90.0,0.41092695091724496,WUR
CTSLUCNDVMMDHG,30.0,0.7880130109249756,WUR
CTSLUCNDVMMDHG,45.0,0.7687766912851948,WUR
CTSLUCNDVMMDHG,60.0,0.7027427824317715,WUR
CTSLUCNDVMMDHG,75.0,0.60258764780756,WUR
CTSLUCNDVMMDHG,90.0,0.4956960067121214,WUR
CXEGAUYXQAKHKJ,30.0,0.1682273447305665,WUR
CXEGAUYXQAKHKJ,45.0,0.15626807124921516,WUR
CXEGAUYXQAKHKJ,60.0,0.13265205745199687,WUR
CXEGAUYXQAKHKJ,75.0,0.11265923322734771,WUR
CXEGAUYXQAKHKJ,90.0,0.0993018380648545,WUR
CYQFCXCEBYINGO,30.0,0.6625696311311062,WUR
CYQFCXCEBYINGO,45.0,0.5106624886575661,WUR
CYQFCXCEBYINGO,60.0,0.4105284423558834,WUR
CYQFCXCEBYINGO,75.0,0.34563409988387706,WUR
CYQFCXCEBYINGO,90.0,0.30711216607460523,WUR
CZQLULNMKQAIQL,30.0,0.6878289753755491,WUR
CZQLULNMKQAIQL,45.0,0.38204751664374437,WUR
CZQLULNMKQAIQL,60.0,0.31413061925613756,WUR
CZQLULNMKQAIQL,75.0,0.2774838079230707,WUR
CZQLULNMKQAIQL,90.0,0.2520698480038082,WUR
DAVNRFCJMIONPO,30.0,0.8679348577845729,WUR
DAVNRFCJMIONPO,45.0,0.7036747230694892,WUR
DAVNRFCJMIONPO,60.0,0.6208074963245539,WUR
DAVNRFCJMIONPO,75.0,0.587956033074933,WUR
DAVNRFCJMIONPO,90.0,0.570971883359536,WUR
DDUIUBPJPOKOMV,30.0,0.9265832717652983,WUR
DDUIUBPJPOKOMV,45.0,0.7741756697379568,WUR
DDUIUBPJPOKOMV,60.0,0.6041065905360112,WUR
DDUIUBPJPOKOMV,75.0,0.4610474685329681,WUR
DDUIUBPJPOKOMV,90.0,0.34600241174983026,WUR
DECIPOUIJURFOJ,30.0,0.9177796689121192,WUR
DECIPOUIJURFOJ,45.0,0.8235428728514136,WUR
DECIPOUIJURFOJ,60.0,0.7249486321817785,WUR
DECIPOUIJURFOJ,75.0,0.6769798967604472,WUR
DECIPOUIJURFOJ,90.0,0.6422969380415119,WUR
DETLTZYXZWIXIB,30.0,0.9037415480688057,WUR
DETLTZYXZWIXIB,45.0,0.7557386092951924,WUR
DETLTZYXZWIXIB,60.0,0.6548625182672903,WUR
DETLTZYXZWIXIB,75.0,0.6208774091384412,WUR
DETLTZYXZWIXIB,90.0,0.5991016529742667,WUR
DFCAFRGABIXSDS,30.0,0.5541289485841517,WUR
DFCAFRGABIXSDS,45.0,0.3642796124926407,WUR
DFCAFRGABIXSDS,60.0,0.29616068582453164,WUR
DFCAFRGABIXSDS,75.0,0.2658322454850781,WUR
DFCAFRGABIXSDS,90.0,0.2511859250173312,WUR
DFFWZNDCNBOKDI,30.0,0.527551129725947,WUR
DFFWZNDCNBOKDI,45.0,0.4265741222367642,WUR
DFFWZNDCNBOKDI,60.0,0.37850404726822506,WUR
DFFWZNDCNBOKDI,75.0,0.35197242819605584,WUR
DFFWZNDCNBOKDI,90.0,0.3300743027193975,WUR
